typ_lokality;sitecode;nazev_lokality;typ_pro;skupina;kod_pro;nazev_pro
EVL;CZ0714771;Hùrka u Hranic;Stanovištì;Skalní stanovištì a jeskynì;8310;Jeskynì nepøístupné veøejnosti
EVL;CZ0713375;Hustopeèe - Štìrkáè;Druh;Brouci;;lesák rumìlkovı (Cucujus cinnaberinus)
EVL;CZ0212010;Hvoïanské Háje;Druh;Cévnaté rostliny;;puchıøka útlá (Coleanthus subtilis)
EVL;CZ0320140;Chejlava;Stanovištì;Lesy;9130;Buèiny asociace Asperulo-Fagetum
EVL;CZ0320140;Chejlava;Stanovištì;Lesy;9180;Lesy svazu Tilio-Acerion na svazích, sutích a v roklích
EVL;CZ0813448;Jakartovice;Druh;Motıli;;modrásek bahenní (Phengaris nausithous)
EVL;CZ0720454;Jalovcová;Stanovištì;Tuholisté køoviny;5130;Formace jalovce obecného (Juniperus communis) na vøesovištích nebo vápnitıch trávnících
EVL;CZ0623348;Jankovec;Druh;Obojivelníci;;kuòka ohnivá (Bombina bombina)
EVL;CZ0813763;Javorovı vrch;Druh;Netopıøi;;netopır èernı (Barbastella barbastellus)
EVL;CZ0813763;Javorovı vrch;Druh;Netopıøi;;netopır velkı (Myotis myotis)
EVL;CZ0813763;Javorovı vrch;Druh;Netopıøi;;vrápenec malı (Rhinolophus hipposideros)
EVL;CZ0213790;Javùrek;Druh;Obojivelníci;;èolek velkı (Triturus cristatus)
PO;CZ0711017;Jeseníky;Druh;Ptáci;;jeøábek lesní (Bonasa bonasia)
PO;CZ0711017;Jeseníky;Druh;Ptáci;;chøástal polní (Crex crex)
EVL;CZ0323638;Jeskynì Inkù;Druh;Netopıøi;;netopır èernı (Barbastella barbastellus)
EVL;CZ0510509;Jezevèí vrch;Stanovištì;Lesy;9130;Buèiny asociace Asperulo-Fagetum
EVL;CZ0510509;Jezevèí vrch;Stanovištì;Lesy;9180;Lesy svazu Tilio-Acerion na svazích, sutích a v roklích
EVL;CZ0813449;Jilešovice - Dìhylov;Druh;Motıli;;modrásek bahenní (Phengaris nausithous)
EVL;CZ0523676;Josefov - pevnost;Druh;Netopıøi;;vrápenec malı (Rhinolophus hipposideros)
EVL;CZ0620006;Kameníky;Stanovištì;Pøirozená a polopøirozená travinatá spoleèenstva;6210;Polopøirozené suché trávníky a facie køovin na vápnitıch podloích (Festuco-Brometalia)
EVL;CZ0620006;Kameníky;Stanovištì;Pøirozená a polopøirozená travinatá spoleèenstva;6240;Subpanonské stepní trávníky
EVL;CZ0813450;Karlova Studánka;Druh;Obojivelníci;;èolek karpatskı (Triturus montandoni)
EVL;CZ0813451;Karviná - rybníky;Druh;Brouci;;páchník hnìdı (Osmoderma eremita)
EVL;CZ0323151;Kateøinskı a Nivní potok;Druh;Ostatní savci;;bobr evropskı (Castor fiber)
EVL;CZ0323151;Kateøinskı a Nivní potok;Stanovištì;Pøirozená a polopøirozená travinatá spoleèenstva;6430;Vlhkomilná vysokobylinná lemová spoleèenstva níin a horského a alpínského stupnì
EVL;CZ0213794;Kerské rybníèky;Druh;Obojivelníci;;èolek velkı (Triturus cristatus)
EVL;CZ0422077;Kleneè;Druh;Cévnaté rostliny;;hvozdík píseènı èeskı (Dianthus arenarius subsp. bohemicus)
EVL;CZ0422077;Kleneè;Stanovištì;Pobøení píseèné duny a kontinentální duny;2330;Otevøené trávníky kontinentálních dun s palièkovcem (Corynephorus) a psineèkem (Agrostis)
EVL;CZ0310010;Klokoèínské louky;Stanovištì;Pøirozená a polopøirozená travinatá spoleèenstva;6410;Bezkolencové louky na vápnitıch, rašelinnıch nebo hlinito-jílovitıch pùdách (Molinion caeruleae)
EVL;CZ0533696;Kochánovické rybníky a tùnì;Druh;Obojivelníci;;kuòka ohnivá (Bombina bombina)
EVL;CZ0533696;Kochánovické rybníky a tùnì;Druh;Obojivelníci;;èolek velkı (Triturus cristatus)
EVL;CZ0723751;Komòa - kostel;Druh;Netopıøi;;netopır velkı (Myotis myotis)
EVL;CZ0423216;Kopistská vısypka;Druh;Obojivelníci;;kuòka ohnivá (Bombina bombina)
EVL;CZ0423216;Kopistská vısypka;Druh;Obojivelníci;;èolek velkı (Triturus cristatus)
EVL;CZ0423216;Kopistská vısypka;Stanovištì;Sladkovodní stanovištì;3140;Tvrdé oligo-mezotrofní vody s bentickou vegetací paronatek
EVL;CZ0614133;Kozének;Druh;Cévnaté rostliny;;koniklec velkokvìtı (Pulsatilla grandis)
EVL;CZ0614133;Kozének;Stanovištì;Pøirozená a polopøirozená travinatá spoleèenstva;6210;Polopøirozené suché trávníky a facie køovin na vápnitıch podloích (Festuco-Brometalia)
EVL;CZ0614133;Kozének;Stanovištì;Pøirozená a polopøirozená travinatá spoleèenstva;6510;Extenzivní seèené louky níin a podhùøí (Arrhenatherion, Brachypodio-Centaureion nemoralis)
EVL;CZ0520507;Kozínek;Stanovištì;Lesy;9130;Buèiny asociace Asperulo-Fagetum
EVL;CZ0520507;Kozínek;Stanovištì;Lesy;9180;Lesy svazu Tilio-Acerion na svazích, sutích a v roklích
EVL;CZ0520507;Kozínek;Stanovištì;Pøirozená a polopøirozená travinatá spoleèenstva;6510;Extenzivní seèené louky níin a podhùøí (Arrhenatherion, Brachypodio-Centaureion nemoralis)
EVL;CZ0520507;Kozínek;Stanovištì;Skalní stanovištì a jeskynì;8210;Chasmofytická vegetace vápnitıch skalnatıch svahù
EVL;CZ0313635;Kratochvíle - zámek;Druh;Netopıøi;;netopır velkı (Myotis myotis)
PO;CZ0211001;Køivoklátsko;Druh;Ptáci;;vèelojed lesní (Pernis apivorus)
PO;CZ0211001;Køivoklátsko;Druh;Ptáci;;vır velkı (Bubo bubo)
PO;CZ0211001;Køivoklátsko;Druh;Ptáci;;kulíšek nejmenší (Glaucidium passerinum)
PO;CZ0211001;Køivoklátsko;Druh;Ptáci;;ledòáèek øíèní (Alcedo atthis)
PO;CZ0211001;Køivoklátsko;Druh;Ptáci;;luna šedá (Picus canus)
PO;CZ0211001;Køivoklátsko;Druh;Ptáci;;strakapoud prostøední (Dendrocopos medius)
PO;CZ0211001;Køivoklátsko;Druh;Ptáci;;lejsek malı (Ficedula parva)
PO;CZ0211001;Køivoklátsko;Druh;Ptáci;;lejsek bìlokrkı (Ficedula albicollis)
EVL;CZ0420406;Køíové vršky, Malı vrch, Šibeník;Stanovištì;Pøirozená a polopøirozená travinatá spoleèenstva;6110;Vápnité nebo bazické skalní trávníky (Alysso-Sedion albi)
EVL;CZ0420406;Køíové vršky, Malı vrch, Šibeník;Stanovištì;Pøirozená a polopøirozená travinatá spoleèenstva;6210;Polopøirozené suché trávníky a facie køovin na vápnitıch podloích (Festuco-Brometalia)
EVL;CZ0420406;Køíové vršky, Malı vrch, Šibeník;Stanovištì;Pøirozená a polopøirozená travinatá spoleèenstva;6210p;Polopøirozené suché trávníky a facie køovin na vápnitıch podloích (Festuco-Brometalia), vıznaèná nalezištì vstavaèovitıch - prioritní stanovištì
EVL;CZ0420406;Køíové vršky, Malı vrch, Šibeník;Stanovištì;Vøesovištì a køoviny mírného pásu;40A0;Kontinentální opadavé køoviny
EVL;CZ0210409;Kulivá hora;Stanovištì;Lesy;9170;Dubohabøiny asociace Galio-Carpinetum
EVL;CZ0210409;Kulivá hora;Stanovištì;Lesy;9180;Lesy svazu Tilio-Acerion na svazích, sutích a v roklích
EVL;CZ0210409;Kulivá hora;Stanovištì;Lesy;91H0;Panonské šípákové doubravy
EVL;CZ0210409;Kulivá hora;Stanovištì;Pøirozená a polopøirozená travinatá spoleèenstva;6190;Panonské skalní trávníky (Stipo-Festucetalia pallentis)
EVL;CZ0210409;Kulivá hora;Stanovištì;Skalní stanovištì a jeskynì;8160;Vápnité sutì pahorkatin a horského stupnì
EVL;CZ0710034;Lánskı luh;Stanovištì;Lesy;9170;Dubohabøiny asociace Galio-Carpinetum
EVL;CZ0623820;Letištì Medlánky;Druh;Ostatní savci;;sysel obecnı (Spermophilus citellus)
EVL;CZ0214009;Libické luhy;Druh;Brouci;;lesák rumìlkovı (Cucujus cinnaberinus)
EVL;CZ0214009;Libické luhy;Druh;Brouci;;roháè obecnı (Lucanus cervus)
EVL;CZ0214009;Libické luhy;Druh;Brouci;;páchník hnìdı (Osmoderma eremita)
EVL;CZ0214009;Libické luhy;Stanovištì;Lesy;91F0;Smíšené luní lesy s dubem letním (Quercus robur), jilmem vazem (Ulmus laevis), j. habrolistım (U. minor), jasanem ztepilım (Fraxinus excelsior) nebo j. úzkolistım (F. angustifolia) podél velkıch øek atlantské a støedoevropské provincie (Ulmenion minoris)
EVL;CZ0214009;Libické luhy;Druh;Obojivelníci;;kuòka ohnivá (Bombina bombina)
EVL;CZ0214009;Libické luhy;Stanovištì;Pøirozená a polopøirozená travinatá spoleèenstva;6430;Vlhkomilná vysokobylinná lemová spoleèenstva níin a horského a alpínského stupnì
EVL;CZ0214009;Libické luhy;Stanovištì;Pøirozená a polopøirozená travinatá spoleèenstva;6440;Nivní louky øíèních údolí svazu Cnidion dubii
EVL;CZ0214009;Libické luhy;Stanovištì;Pøirozená a polopøirozená travinatá spoleèenstva;6510;Extenzivní seèené louky níin a podhùøí (Arrhenatherion, Brachypodio-Centaureion nemoralis)
EVL;CZ0214009;Libické luhy;Stanovištì;Sladkovodní stanovištì;3150;Pøirozené eutrofní vodní nádre s vegetací typu Magnopotamion nebo Hydrocharition
EVL;CZ0810021;Libotín;Stanovištì;Lesy;9180;Lesy svazu Tilio-Acerion na svazích, sutích a v roklích
EVL;CZ0810021;Libotín;Stanovištì;Vrchovištì, rašeliništì a moèály;7220;Petrifikující prameny s tvorbou pìnovcù (Cratoneurion)
EVL;CZ0312038;Lomnickı velkı rybník;Druh;Cévnaté rostliny;;puchıøka útlá (Coleanthus subtilis)
EVL;CZ0323155;Lopata;Druh;Brouci;;páchník hnìdı (Osmoderma eremita)
EVL;CZ0210720;Louèeòské rybníèky;Stanovištì;Sladkovodní stanovištì;3140;Tvrdé oligo-mezotrofní vody s bentickou vegetací paronatek
EVL;CZ0210720;Louèeòské rybníèky;Stanovištì;Vrchovištì, rašeliništì a moèály;7230;Zásaditá slatiništì
EVL;CZ0210058;Louky u Budenína;Stanovištì;Pøirozená a polopøirozená travinatá spoleèenstva;6230;Druhovì bohaté smilkové louky na silikátovıch podloích v horskıch oblastech (a v kontinentální Evropì v podhorskıch oblastech)
