ROK;kod_chu;NAZEV;DRUH;SKUPINA;KOD_LOKAL;NAZEV_LOK;POLE;pracoviste;oop;HODNOCENE_OBDOBI_OD;HODNOCENE_OBDOBI_DO;ID_ND_AKCE;DATUM;CILMON;ID_IND;JEDNOTKA;TYP_IND;IND_GRP;KLIC;UROVEN;LIM_IND;LIM_INDLIST;HOD_IND;STAV_IND;ID_ND_LOK
2016;CZ0410150;Soos;Euphydryas aurinia;Motýli;Nová Ves u Křižovatky;Nová Ves u Křižovatky;5840b;RP SCHKO Slavkovský les;AOPK ČR - RP SCHKO Slavkovský les, Krajský úřad Karlovarského kraje;2016-08-01;2016-08-01;9682667, 9682668;2016-08-01;0;STA_LIKVIDACE;NA;val;val;ne;lok;nezaznamenána;nezaznamenána;neznámý;NA;5954825
2016;CZ0410150;Soos;Euphydryas aurinia;Motýli;Nová Ves u Křižovatky;Nová Ves u Křižovatky;5840b;RP SCHKO Slavkovský les;AOPK ČR - RP SCHKO Slavkovský les, Krajský úřad Karlovarského kraje;2016-08-01;2016-08-01;9682667, 9682668;2016-08-01;0;STA_PRITOMNOSTROSTLIN;kategorie relativní početnosti;val;val;ne;lok;jednotlivě;jednotlivě, dominantně, hojně;neznámý;NA;5954825
2019;CZ0410150;Soos;Euphydryas aurinia;Motýli;S9;S9;5840b;RP SCHKO Slavkovský les;AOPK ČR - RP SCHKO Slavkovský les, Krajský úřad Karlovarského kraje;2019-09-01;2019-09-01;10732525;2019-09-01;0;CELKOVE_HODNOCENI;NA;NA;NA;NA;lok;NA;NA;špatný;0;7052983
2019;CZ0410150;Soos;Euphydryas aurinia;Motýli;S9;S9;5840b;RP SCHKO Slavkovský les;AOPK ČR - RP SCHKO Slavkovský les, Krajský úřad Karlovarského kraje;2019-09-01;2019-09-01;10732525;2019-09-01;0;CELKOVE_SUM;NA;NA;NA;NA;NA;;;1;NA;7052983
2019;CZ0410150;Soos;Euphydryas aurinia;Motýli;S9;S9;5840b;RP SCHKO Slavkovský les;AOPK ČR - RP SCHKO Slavkovský les, Krajský úřad Karlovarského kraje;2019-09-01;2019-09-01;10732525;2019-09-01;0;POP_POCETSUMLOKAL;hnízda housenek;min;minmax;ano;lok;10;alespoň 10 hnízda housenek;2;0;7052983
2019;CZ0410150;Soos;Euphydryas aurinia;Motýli;S9;S9;5840b;RP SCHKO Slavkovský les;AOPK ČR - RP SCHKO Slavkovský les, Krajský úřad Karlovarského kraje;2019-09-01;2019-09-01;10732525;2019-09-01;0;POP_PRESENCE;NA;val;val;ano;lok;ano;ano;ano;1;7052983
2019;CZ0410150;Soos;Euphydryas aurinia;Motýli;S9;S9;5840b;RP SCHKO Slavkovský les;AOPK ČR - RP SCHKO Slavkovský les, Krajský úřad Karlovarského kraje;2019-09-01;2019-09-01;10732525;2019-09-01;0;STA_LIKVIDACE;NA;val;val;ne;lok;nezaznamenána;nezaznamenána;neznámý;NA;7052983
2019;CZ0410150;Soos;Euphydryas aurinia;Motýli;S9;S9;5840b;RP SCHKO Slavkovský les;AOPK ČR - RP SCHKO Slavkovský les, Krajský úřad Karlovarského kraje;2019-09-01;2019-09-01;10732525;2019-09-01;0;STA_PRITOMNOSTROSTLIN;kategorie relativní početnosti;val;val;ne;lok;jednotlivě;jednotlivě, dominantně, hojně;neznámý;NA;7052983
2019;CZ0410150;Soos;Euphydryas aurinia;Motýli;SA1, SA2, SA3;SA1, SA2, SA3;5840b;RP SCHKO Slavkovský les;AOPK ČR - RP SCHKO Slavkovský les, Krajský úřad Karlovarského kraje;2019-09-01;2019-09-01;10732522;2019-09-01;0;CELKOVE_HODNOCENI;NA;NA;NA;NA;lok;NA;NA;špatný;0;7052980
2019;CZ0410150;Soos;Euphydryas aurinia;Motýli;SA1, SA2, SA3;SA1, SA2, SA3;5840b;RP SCHKO Slavkovský les;AOPK ČR - RP SCHKO Slavkovský les, Krajský úřad Karlovarského kraje;2019-09-01;2019-09-01;10732522;2019-09-01;0;CELKOVE_SUM;NA;NA;NA;NA;NA;;;1;NA;7052980
2019;CZ0410150;Soos;Euphydryas aurinia;Motýli;SA1, SA2, SA3;SA1, SA2, SA3;5840b;RP SCHKO Slavkovský les;AOPK ČR - RP SCHKO Slavkovský les, Krajský úřad Karlovarského kraje;2019-09-01;2019-09-01;10732522;2019-09-01;0;POP_POCETSUMLOKAL;hnízda housenek;min;minmax;ano;lok;10;alespoň 10 hnízda housenek;3;0;7052980
2019;CZ0410150;Soos;Euphydryas aurinia;Motýli;SA1, SA2, SA3;SA1, SA2, SA3;5840b;RP SCHKO Slavkovský les;AOPK ČR - RP SCHKO Slavkovský les, Krajský úřad Karlovarského kraje;2019-09-01;2019-09-01;10732522;2019-09-01;0;POP_PRESENCE;NA;val;val;ano;lok;ano;ano;ano;1;7052980
2019;CZ0410150;Soos;Euphydryas aurinia;Motýli;SA1, SA2, SA3;SA1, SA2, SA3;5840b;RP SCHKO Slavkovský les;AOPK ČR - RP SCHKO Slavkovský les, Krajský úřad Karlovarského kraje;2019-09-01;2019-09-01;10732522;2019-09-01;0;STA_LIKVIDACE;NA;val;val;ne;lok;nezaznamenána;nezaznamenána;neznámý;NA;7052980
2019;CZ0410150;Soos;Euphydryas aurinia;Motýli;SA1, SA2, SA3;SA1, SA2, SA3;5840b;RP SCHKO Slavkovský les;AOPK ČR - RP SCHKO Slavkovský les, Krajský úřad Karlovarského kraje;2019-09-01;2019-09-01;10732522;2019-09-01;0;STA_PRITOMNOSTROSTLIN;kategorie relativní početnosti;val;val;ne;lok;jednotlivě;jednotlivě, dominantně, hojně;neznámý;NA;7052980
2019;CZ0410150;Soos;Euphydryas aurinia;Motýli;SA4, SA5, SA6;SA4, SA5, SA6;5840b;RP SCHKO Slavkovský les;AOPK ČR - RP SCHKO Slavkovský les, Krajský úřad Karlovarského kraje;2019-09-01;2019-09-01;10732523;2019-09-01;0;CELKOVE_HODNOCENI;NA;NA;NA;NA;lok;NA;NA;špatný;0;7052981
2019;CZ0410150;Soos;Euphydryas aurinia;Motýli;SA4, SA5, SA6;SA4, SA5, SA6;5840b;RP SCHKO Slavkovský les;AOPK ČR - RP SCHKO Slavkovský les, Krajský úřad Karlovarského kraje;2019-09-01;2019-09-01;10732523;2019-09-01;0;CELKOVE_SUM;NA;NA;NA;NA;NA;;;1;NA;7052981
2019;CZ0410150;Soos;Euphydryas aurinia;Motýli;SA4, SA5, SA6;SA4, SA5, SA6;5840b;RP SCHKO Slavkovský les;AOPK ČR - RP SCHKO Slavkovský les, Krajský úřad Karlovarského kraje;2019-09-01;2019-09-01;10732523;2019-09-01;0;POP_POCETSUMLOKAL;hnízda housenek;min;minmax;ano;lok;10;alespoň 10 hnízda housenek;3;0;7052981
2019;CZ0410150;Soos;Euphydryas aurinia;Motýli;SA4, SA5, SA6;SA4, SA5, SA6;5840b;RP SCHKO Slavkovský les;AOPK ČR - RP SCHKO Slavkovský les, Krajský úřad Karlovarského kraje;2019-09-01;2019-09-01;10732523;2019-09-01;0;POP_PRESENCE;NA;val;val;ano;lok;ano;ano;ano;1;7052981
2019;CZ0410150;Soos;Euphydryas aurinia;Motýli;SA4, SA5, SA6;SA4, SA5, SA6;5840b;RP SCHKO Slavkovský les;AOPK ČR - RP SCHKO Slavkovský les, Krajský úřad Karlovarského kraje;2019-09-01;2019-09-01;10732523;2019-09-01;0;STA_LIKVIDACE;NA;val;val;ne;lok;nezaznamenána;nezaznamenána;neznámý;NA;7052981
2019;CZ0410150;Soos;Euphydryas aurinia;Motýli;SA4, SA5, SA6;SA4, SA5, SA6;5840b;RP SCHKO Slavkovský les;AOPK ČR - RP SCHKO Slavkovský les, Krajský úřad Karlovarského kraje;2019-09-01;2019-09-01;10732523;2019-09-01;0;STA_PRITOMNOSTROSTLIN;kategorie relativní početnosti;val;val;ne;lok;jednotlivě;jednotlivě, dominantně, hojně;neznámý;NA;7052981
2019;CZ0410150;Soos;Euphydryas aurinia;Motýli;SA7, SA8;SA7, SA8;5840b;RP SCHKO Slavkovský les;AOPK ČR - RP SCHKO Slavkovský les, Krajský úřad Karlovarského kraje;2019-09-01;2019-09-01;10732524;2019-09-01;0;CELKOVE_HODNOCENI;NA;NA;NA;NA;lok;NA;NA;špatný;0;7052982
2019;CZ0410150;Soos;Euphydryas aurinia;Motýli;SA7, SA8;SA7, SA8;5840b;RP SCHKO Slavkovský les;AOPK ČR - RP SCHKO Slavkovský les, Krajský úřad Karlovarského kraje;2019-09-01;2019-09-01;10732524;2019-09-01;0;CELKOVE_SUM;NA;NA;NA;NA;NA;;;1;NA;7052982
2019;CZ0410150;Soos;Euphydryas aurinia;Motýli;SA7, SA8;SA7, SA8;5840b;RP SCHKO Slavkovský les;AOPK ČR - RP SCHKO Slavkovský les, Krajský úřad Karlovarského kraje;2019-09-01;2019-09-01;10732524;2019-09-01;0;POP_POCETSUMLOKAL;hnízda housenek;min;minmax;ano;lok;10;alespoň 10 hnízda housenek;2;0;7052982
