"ROK","kod_chu","NAZEV","DRUH","SKUPINA","KOD_LOKAL","NAZEV_LOK","POLE","pracoviste","oop","HODNOCENE_OBDOBI_OD","HODNOCENE_OBDOBI_DO","ID_ND_AKCE","DATUM","CILMON","ID_IND","JEDNOTKA","TYP_IND","IND_GRP","KLIC","UROVEN","LIM_IND","LIM_INDLIST","HOD_IND","STAV_IND"
2023,"CZ0323824","Ostruná","Lampetra planeri","Ryby a mihule","OST_007_Ostruná","Ostruná - Nemilkov_ústí Radvanického p.","6746a","RP SCHKO Èeskı les","Krajskı úøad Plzeòského kraje",2020-09-27,2023-10-27,"13411618",2023-10-27,1,"POP_VITALITA","kategorie","min","minmax","ano","lok","3","alespoò 3 kategorie","2",0
2023,"CZ0323824","Ostruná","Lampetra planeri","Ryby a mihule","OST_007_Ostruná","Ostruná - Nemilkov_ústí Radvanického p.","6746a","RP SCHKO Èeskı les","Krajskı úøad Plzeòského kraje",2020-09-27,2023-10-27,"13411618",2023-10-27,1,"STA_MIGBARPOCET",NA,"max","minmax","ne","lok","1","nejvıš 1 NA","1",1
2023,"CZ0323824","Ostruná","Lampetra planeri","Ryby a mihule","OST_007_Ostruná","Ostruná - Nemilkov_ústí Radvanického p.","6746a","RP SCHKO Èeskı les","Krajskı úøad Plzeòského kraje",2020-09-27,2023-10-27,"13411618",2023-10-27,1,"STA_MIGBARVYS","cm","max","minmax","ne","lok","5","nejvıš 5 cm","100",0
2021,"CZ0323825","Hadovka","Lampetra planeri","Ryby a mihule","CZ0323825","Hadovka II - Strahov","6143b","RP SCHKO Èeskı les","Krajskı úøad Plzeòského kraje",2021-11-16,2021-11-16,"11747077",2021-11-16,0,"CELKOVE_HODNOCENI",NA,NA,NA,NA,"lok",NA,NA,"špatnı",0
2021,"CZ0323825","Hadovka","Lampetra planeri","Ryby a mihule","CZ0323825","Hadovka II - Strahov","6143b","RP SCHKO Èeskı les","Krajskı úøad Plzeòského kraje",2021-11-16,2021-11-16,"11747077",2021-11-16,0,"CELKOVE_SUM",NA,NA,NA,NA,NA,"","","0",NA
2021,"CZ0323825","Hadovka","Lampetra planeri","Ryby a mihule","CZ0323825","Hadovka II - Strahov","6143b","RP SCHKO Èeskı les","Krajskı úøad Plzeòského kraje",2021-11-16,2021-11-16,"11747077",2021-11-16,0,"POP_DYN","%","max","minmax","ano","lok","50","nejvıš 50 %","neznámı",NA
2021,"CZ0323825","Hadovka","Lampetra planeri","Ryby a mihule","CZ0323825","Hadovka II - Strahov","6143b","RP SCHKO Èeskı les","Krajskı úøad Plzeòského kraje",2021-11-16,2021-11-16,"11747077",2021-11-16,0,"POP_VITALITA","kategorie","min","minmax","ano","lok","3","alespoò 3 kategorie","neznámı",NA
2021,"CZ0323825","Hadovka","Lampetra planeri","Ryby a mihule","CZ0323825","Hadovka II - Strahov","6143b","RP SCHKO Èeskı les","Krajskı úøad Plzeòského kraje",2021-11-16,2021-11-16,"11747077",2021-11-16,0,"STA_MIGBARPOCET",NA,"max","minmax","ne","lok","1","nejvıš 1 NA","neznámı",NA
2021,"CZ0323825","Hadovka","Lampetra planeri","Ryby a mihule","CZ0323825","Hadovka II - Strahov","6143b","RP SCHKO Èeskı les","Krajskı úøad Plzeòského kraje",2021-11-16,2021-11-16,"11747077",2021-11-16,0,"STA_MIGBARVYS","cm","max","minmax","ne","lok","5","nejvıš 5 cm","neznámı",NA
2015,"CZ0324025","Kaòon Støely","Lampetra planeri","Ryby a mihule","CZ0324025","Støela - 2. Chaloupkùv mlın","6046d","RP SCHKO Èeskı les","Krajskı úøad Plzeòského kraje",2015-11-17,2015-11-17,"9634144",2015-11-17,0,"CELKOVE_HODNOCENI",NA,NA,NA,NA,"lok",NA,NA,"špatnı",0
2015,"CZ0324025","Kaòon Støely","Lampetra planeri","Ryby a mihule","CZ0324025","Støela - 2. Chaloupkùv mlın","6046d","RP SCHKO Èeskı les","Krajskı úøad Plzeòského kraje",2015-11-17,2015-11-17,"9634144",2015-11-17,0,"CELKOVE_SUM",NA,NA,NA,NA,NA,"","","0",NA
