typ_predmetu_hodnoceni;kod_chu;nazev_chu;druh;feature_code;hodnocene_obdobi_od;hodnocene_obdobi_do;oop;parametr_nazev;parametr_hodnota;parametr_limit;parametr_jednotka;stav;trend;datum_hodnoceni;pracoviste;metodika
Druh;CZ0424125;Doupovské hory;Bombina bombina;1188;2022-04-23;2024-11-30;Krajský úřad Ústeckého kraje, AOPK ČR - RP SCHKO Slavkovský les, Krajský úřad Karlovarského kraje;37;100;30;% lokalit v dobrém stavu;dobrý;neznámý;2025-04-10;RP SCHKO Slavkovský les;19269
Druh;CZ0424125;Doupovské hory;Bombina bombina;1188;2022-04-23;2024-11-30;Krajský úřad Ústeckého kraje, AOPK ČR - RP SCHKO Slavkovský les, Krajský úřad Karlovarského kraje;38;100;30;% lokalit v dobrém stavu;dobrý;neznámý;2025-04-10;RP SCHKO Slavkovský les;19269
Druh;CZ0424125;Doupovské hory;Bombina bombina;1188;2022-04-23;2024-11-30;Krajský úřad Ústeckého kraje, AOPK ČR - RP SCHKO Slavkovský les, Krajský úřad Karlovarského kraje;130;26.92;NA;% lokalit v dobrém stavu;nehodnocen;neznámý;2025-04-10;RP SCHKO Slavkovský les;19269
Druh;CZ0424125;Doupovské hory;Bombina bombina;1188;2022-04-23;2024-11-30;Krajský úřad Ústeckého kraje, AOPK ČR - RP SCHKO Slavkovský les, Krajský úřad Karlovarského kraje;131;26;NA;počet dílčích lokalit;nehodnocen;neznámý;2025-04-10;RP SCHKO Slavkovský les;19269
Druh;CZ0424125;Doupovské hory;Bombina bombina;1188;2022-04-23;2024-11-30;Krajský úřad Ústeckého kraje, AOPK ČR - RP SCHKO Slavkovský les, Krajský úřad Karlovarského kraje;10;NA;NA;hodnocení dílčích parametrů;špatný;setrvalý;2025-04-10;RP SCHKO Slavkovský les;19269
Druh;CZ0613319;Ficků rybník;Triturus cristatus;1166;2022-05-12;2024-09-09;Krajský úřad Kraje Vysočina;27;100;100;% lokalit v dobrém stavu;dobrý;neznámý;2025-04-10;RP Vysočina;19269
Druh;CZ0613319;Ficků rybník;Triturus cristatus;1166;2022-05-12;2024-09-09;Krajský úřad Kraje Vysočina;21;0;NA;adulti;nehodnocen;neznámý;2025-04-10;RP Vysočina;19269
Druh;CZ0613319;Ficků rybník;Triturus cristatus;1166;2022-05-12;2024-09-09;Krajský úřad Kraje Vysočina;22;0;NA;adulti;nehodnocen;neznámý;2025-04-10;RP Vysočina;19269
Druh;CZ0613319;Ficků rybník;Triturus cristatus;1166;2022-05-12;2024-09-09;Krajský úřad Kraje Vysočina;80;NA;100;% lokalit v dobrém stavu;neznámý;neznámý;2025-04-10;RP Vysočina;19269
Druh;CZ0613319;Ficků rybník;Triturus cristatus;1166;2022-05-12;2024-09-09;Krajský úřad Kraje Vysočina;30;100;100;% lokalit v dobrém stavu;dobrý;neznámý;2025-04-10;RP Vysočina;19269
Druh;CZ0613319;Ficků rybník;Triturus cristatus;1166;2022-05-12;2024-09-09;Krajský úřad Kraje Vysočina;31;100;100;% lokalit v dobrém stavu;dobrý;neznámý;2025-04-10;RP Vysočina;19269
Druh;CZ0613319;Ficků rybník;Triturus cristatus;1166;2022-05-12;2024-09-09;Krajský úřad Kraje Vysočina;32;0;100;% lokalit v dobrém stavu;špatný;neznámý;2025-04-10;RP Vysočina;19269
Druh;CZ0613319;Ficků rybník;Triturus cristatus;1166;2022-05-12;2024-09-09;Krajský úřad Kraje Vysočina;33;0;100;% lokalit v dobrém stavu;špatný;neznámý;2025-04-10;RP Vysočina;19269
Druh;CZ0613319;Ficků rybník;Triturus cristatus;1166;2022-05-12;2024-09-09;Krajský úřad Kraje Vysočina;34;100;100;% lokalit v dobrém stavu;dobrý;neznámý;2025-04-10;RP Vysočina;19269
Druh;CZ0613319;Ficků rybník;Triturus cristatus;1166;2022-05-12;2024-09-09;Krajský úřad Kraje Vysočina;35;100;100;% lokalit v dobrém stavu;dobrý;neznámý;2025-04-10;RP Vysočina;19269
Druh;CZ0613319;Ficků rybník;Triturus cristatus;1166;2022-05-12;2024-09-09;Krajský úřad Kraje Vysočina;36;100;100;% lokalit v dobrém stavu;dobrý;neznámý;2025-04-10;RP Vysočina;19269
Druh;CZ0613319;Ficků rybník;Triturus cristatus;1166;2022-05-12;2024-09-09;Krajský úřad Kraje Vysočina;38;100;100;% lokalit v dobrém stavu;dobrý;neznámý;2025-04-10;RP Vysočina;19269
Druh;CZ0613319;Ficků rybník;Triturus cristatus;1166;2022-05-12;2024-09-09;Krajský úřad Kraje Vysočina;130;50;NA;% lokalit v dobrém stavu;nehodnocen;neznámý;2025-04-10;RP Vysočina;19269
Druh;CZ0613319;Ficků rybník;Triturus cristatus;1166;2022-05-12;2024-09-09;Krajský úřad Kraje Vysočina;10;NA;NA;hodnocení dílčích parametrů;zhoršený;zlepšující se;2025-04-10;RP Vysočina;19269
Druh;CZ0613319;Ficků rybník;Triturus cristatus;1166;2022-05-12;2024-09-09;Krajský úřad Kraje Vysočina;131;1;NA;počet dílčích lokalit;nehodnocen;neznámý;2025-04-10;RP Vysočina;19269
Druh;CZ0423211;Háj u Oseka;Bombina bombina;1188;2022-05-03;2024-07-20;Krajský úřad Ústeckého kraje;27;100;50;% lokalit v dobrém stavu;dobrý;neznámý;2025-04-10;RP SCHKO České středohoří;19269
Druh;CZ0423211;Háj u Oseka;Bombina bombina;1188;2022-05-03;2024-07-20;Krajský úřad Ústeckého kraje;21;2;NA;volající samci;nehodnocen;neznámý;2025-04-10;RP SCHKO České středohoří;19269
Druh;CZ0423211;Háj u Oseka;Bombina bombina;1188;2022-05-03;2024-07-20;Krajský úřad Ústeckého kraje;22;20;NA;volající samci;nehodnocen;neznámý;2025-04-10;RP SCHKO České středohoří;19269
Druh;CZ0423211;Háj u Oseka;Bombina bombina;1188;2022-05-03;2024-07-20;Krajský úřad Ústeckého kraje;80;100;50;% lokalit v dobrém stavu;dobrý;neznámý;2025-04-10;RP SCHKO České středohoří;19269
Druh;CZ0423211;Háj u Oseka;Bombina bombina;1188;2022-05-03;2024-07-20;Krajský úřad Ústeckého kraje;30;NA;50;% lokalit v dobrém stavu;neznámý;neznámý;2025-04-10;RP SCHKO České středohoří;19269
Druh;CZ0423211;Háj u Oseka;Bombina bombina;1188;2022-05-03;2024-07-20;Krajský úřad Ústeckého kraje;31;100;50;% lokalit v dobrém stavu;dobrý;neznámý;2025-04-10;RP SCHKO České středohoří;19269
Druh;CZ0423211;Háj u Oseka;Bombina bombina;1188;2022-05-03;2024-07-20;Krajský úřad Ústeckého kraje;32;100;50;% lokalit v dobrém stavu;dobrý;neznámý;2025-04-10;RP SCHKO České středohoří;19269
Druh;CZ0423211;Háj u Oseka;Bombina bombina;1188;2022-05-03;2024-07-20;Krajský úřad Ústeckého kraje;33;100;50;% lokalit v dobrém stavu;dobrý;neznámý;2025-04-10;RP SCHKO České středohoří;19269
Druh;CZ0423211;Háj u Oseka;Bombina bombina;1188;2022-05-03;2024-07-20;Krajský úřad Ústeckého kraje;34;100;50;% lokalit v dobrém stavu;dobrý;neznámý;2025-04-10;RP SCHKO České středohoří;19269
Druh;CZ0423211;Háj u Oseka;Bombina bombina;1188;2022-05-03;2024-07-20;Krajský úřad Ústeckého kraje;36;0;50;% lokalit v dobrém stavu;špatný;neznámý;2025-04-10;RP SCHKO České středohoří;19269
Druh;CZ0423211;Háj u Oseka;Bombina bombina;1188;2022-05-03;2024-07-20;Krajský úřad Ústeckého kraje;37;100;50;% lokalit v dobrém stavu;dobrý;neznámý;2025-04-10;RP SCHKO České středohoří;19269
