"TYP_CHU";"SITECODE";"HABITAT_CODE";"ROZLOHA_PASEKY";"ROZLOHA_HOLINY";"POCET_SEGMENTU_PASEKY"
"EVL";"CZ0210109";"6210";NA;NA;NA
"EVL";"CZ0210109";"6410";NA;NA;NA
"EVL";"CZ0210109";"9170";0,513453305384821;0;2
"EVL";"CZ0320029";"9170";0;0;0
"EVL";"CZ0320029";"9180";0;0;0
"EVL";"CZ0710182";"3150";NA;NA;NA
"EVL";"CZ0710182";"6410";NA;NA;NA
"EVL";"CZ0710182";"9170";2,86879574231145;2,21023838839218;3
"EVL";"CZ0710182";"91E0";0;0;0
"EVL";"CZ0614136";"7140";NA;NA;NA
"EVL";"CZ0533303";"3260";NA;NA;NA
"EVL";"CZ0724091";"6210";NA;NA;NA
"EVL";"CZ0724091";"6410";NA;NA;NA
"EVL";"CZ0724091";"6430";NA;NA;NA
"EVL";"CZ0724091";"6510";NA;NA;NA
"EVL";"CZ0724091";"7220";NA;NA;NA
"EVL";"CZ0724091";"8220";NA;NA;NA
"EVL";"CZ0724091";"8310";NA;NA;NA
"EVL";"CZ0724091";"9130";274,412396806487;145,738633064403;444
"EVL";"CZ0724091";"9170";84,2294400624969;23,691864578152;270
"EVL";"CZ0724091";"9180";0,0996885136668163;0;1
"EVL";"CZ0724091";"6210p";NA;NA;NA
"EVL";"CZ0724091";"91E0";2,77506590715472;0;39
"EVL";"CZ0110040";"6190";NA;NA;NA
"EVL";"CZ0110040";"6210";NA;NA;NA
"EVL";"CZ0110040";"9170";1,34321494364666;1,19258768856861;4
"EVL";"CZ0110040";"9180";0,177619936109078;0;1
"EVL";"CZ0314634";"8310";NA;NA;NA
"EVL";"CZ0720454";"5130";NA;NA;NA
"EVL";"CZ0613321";"6230";NA;NA;NA
"EVL";"CZ0620416";"3130";NA;NA;NA
"EVL";"CZ0624066";"6210";NA;NA;NA
"EVL";"CZ0624066";"9170";0;0;0
"EVL";"CZ0620162";"6240";NA;NA;NA
"EVL";"CZ0620162";"6250";NA;NA;NA
"EVL";"CZ0620162";"40A0";NA;NA;NA
"EVL";"CZ0610179";"6510";NA;NA;NA
"EVL";"CZ0610179";"9170";3,17103743243571;0;28
"EVL";"CZ0514042";"2330";NA;NA;NA
"EVL";"CZ0514042";"3140";NA;NA;NA
"EVL";"CZ0514042";"3150";NA;NA;NA
"EVL";"CZ0514042";"3160";NA;NA;NA
"EVL";"CZ0514042";"4030";NA;NA;NA
"EVL";"CZ0514042";"6410";NA;NA;NA
"EVL";"CZ0514042";"6430";NA;NA;NA
"EVL";"CZ0514042";"7140";NA;NA;NA
"EVL";"CZ0514042";"7150";NA;NA;NA
"EVL";"CZ0514042";"7230";NA;NA;NA
"EVL";"CZ0514042";"8310";NA;NA;NA
"EVL";"CZ0514042";"9110";12,0595760474216;5,45377541932841;19
"EVL";"CZ0514042";"9410";14,2042625401998;10,5611689768606;19
"EVL";"CZ0514042";"91D0";4,78283224319596;0;19
"EVL";"CZ0514042";"91T0";0,0988173547971295;0;1
"EVL";"CZ0623041";"3260";NA;NA;NA
"EVL";"CZ0620078";"3140";NA;NA;NA
"EVL";"CZ0620078";"6410";NA;NA;NA
"EVL";"CZ0620078";"7230";NA;NA;NA
"EVL";"CZ0410018";"6210";NA;NA;NA
"EVL";"CZ0510509";"9130";0,346984161197883;0;1
"EVL";"CZ0510509";"9180";0,0867460402994708;0;1
"EVL";"CZ0510412";"4030";NA;NA;NA
"EVL";"CZ0510412";"7110";NA;NA;NA
"EVL";"CZ0510412";"7140";NA;NA;NA
"EVL";"CZ0510412";"8220";NA;NA;NA
"EVL";"CZ0510412";"9410";5,00538998890091;1,76870169374739;17
"EVL";"CZ0510412";"91D0";3,8284826735509;1,32341716636179;11
"EVL";"CZ0510400";"8220";NA;NA;NA
"EVL";"CZ0510400";"9110";24,3591897361446;1,1938055734504;62
"EVL";"CZ0510400";"9130";0,386463814414293;0;2
"EVL";"CZ0510400";"9140";6,33157730821014;4,94791584303514;7
"EVL";"CZ0510400";"9180";0;0;0
"EVL";"CZ0624236";"6210";NA;NA;NA
"EVL";"CZ0624236";"6240";NA;NA;NA
"EVL";"CZ0210732";"6230";NA;NA;NA
"EVL";"CZ0210732";"7140";NA;NA;NA
"EVL";"CZ0210105";"7220";NA;NA;NA
"EVL";"CZ0210105";"9130";0;0;0
