"SITECODE";"NAZEV";"HABITAT_CODE";"DATE_MIN";"DATE_MAX";"PAR_NAZEV";"PAR_HODNOTA";"ROK_HODNOCENI"
"CZ0620158";"Rumunská bažantnice";"1340";"19260";"19260";"PERC_1";"0";2024
"CZ0620158";"Rumunská bažantnice";"1340";"19260";"19260";"PERC_2";"100";2024
"CZ0620187";"Slanisko Novosedly";"1340";"15507";"15510";"ROZLOHA";"0.804";2024
"CZ0620187";"Slanisko Novosedly";"1340";"15507";"15510";"KVALITA";"1.515";2024
"CZ0620187";"Slanisko Novosedly";"1340";"15507";"15510";"TYPICKE_DRUHY";"2.122";2024
"CZ0620187";"Slanisko Novosedly";"1340";"15507";"15510";"REPRE";"1.757";2024
"CZ0620187";"Slanisko Novosedly";"1340";"15507";"15510";"REPRE_SDF";"2.243";2024
"CZ0620187";"Slanisko Novosedly";"1340";"15507";"15510";"CONSERVATION";"1.393";2024
"CZ0620187";"Slanisko Novosedly";"1340";"15507";"15510";"DEGREE_OF_CONSERVATION";"87.85";2024
"CZ0620187";"Slanisko Novosedly";"1340";"15507";"15510";"MRTVE_DREVO";NA;2024
"CZ0620187";"Slanisko Novosedly";"1340";"15507";"15510";"KALAMITA_POLOM";NA;2024
"CZ0620187";"Slanisko Novosedly";"1340";"15507";"15510";"RELATIVE_AREA_PERC";"0";2024
"CZ0620187";"Slanisko Novosedly";"1340";"15507";"15510";"EVL_AREA_PERC";"15.437";2024
"CZ0620187";"Slanisko Novosedly";"1340";"15507";"15510";"GOOD_DOC_AREA_HA";"0.706";2024
"CZ0620187";"Slanisko Novosedly";"1340";"15507";"15510";"W_AREA_HA";"0.098";2024
"CZ0620187";"Slanisko Novosedly";"1340";"15507";"15510";"W_AREA_PERC";"12.15";2024
"CZ0620187";"Slanisko Novosedly";"1340";"15507";"15510";"PASEKY_AREA_HA";NA;2024
"CZ0620187";"Slanisko Novosedly";"1340";"15507";"15510";"PASEKY_AREA_PERC";NA;2024
"CZ0620187";"Slanisko Novosedly";"1340";"15507";"15510";"DEGRAD_AREA_HA";"0.098";2024
"CZ0620187";"Slanisko Novosedly";"1340";"15507";"15510";"DEGRAD_AREA_PERC";"12.15";2024
"CZ0620187";"Slanisko Novosedly";"1340";"15507";"15510";"PERC_0";"0";2024
"CZ0620187";"Slanisko Novosedly";"1340";"15507";"15510";"PERC_1";"100";2024
"CZ0620187";"Slanisko Novosedly";"1340";"15507";"15510";"PERC_2";"0";2024
"CZ0624102";"Slanisko u Nesytu";"1340";"15560";"15573";"ROZLOHA";"7.544";2024
"CZ0624102";"Slanisko u Nesytu";"1340";"15560";"15573";"KVALITA";"1";2024
"CZ0624102";"Slanisko u Nesytu";"1340";"15560";"15573";"TYPICKE_DRUHY";"1.147";2024
"CZ0624102";"Slanisko u Nesytu";"1340";"15560";"15573";"REPRE";"2";2024
"CZ0624102";"Slanisko u Nesytu";"1340";"15560";"15573";"REPRE_SDF";"1.147";2024
"CZ0624102";"Slanisko u Nesytu";"1340";"15560";"15573";"CONSERVATION";"1";2024
"CZ0624102";"Slanisko u Nesytu";"1340";"15560";"15573";"DEGREE_OF_CONSERVATION";"100";2024
"CZ0624102";"Slanisko u Nesytu";"1340";"15560";"15573";"MRTVE_DREVO";NA;2024
"CZ0624102";"Slanisko u Nesytu";"1340";"15560";"15573";"KALAMITA_POLOM";NA;2024
"CZ0624102";"Slanisko u Nesytu";"1340";"15560";"15573";"RELATIVE_AREA_PERC";"0";2024
"CZ0624102";"Slanisko u Nesytu";"1340";"15560";"15573";"EVL_AREA_PERC";"77.209";2024
"CZ0624102";"Slanisko u Nesytu";"1340";"15560";"15573";"GOOD_DOC_AREA_HA";"7.544";2024
"CZ0624102";"Slanisko u Nesytu";"1340";"15560";"15573";"W_AREA_HA";"0";2024
"CZ0624102";"Slanisko u Nesytu";"1340";"15560";"15573";"W_AREA_PERC";"0";2024
"CZ0624102";"Slanisko u Nesytu";"1340";"15560";"15573";"PASEKY_AREA_HA";NA;2024
"CZ0624102";"Slanisko u Nesytu";"1340";"15560";"15573";"PASEKY_AREA_PERC";NA;2024
"CZ0624102";"Slanisko u Nesytu";"1340";"15560";"15573";"DEGRAD_AREA_HA";"0";2024
"CZ0624102";"Slanisko u Nesytu";"1340";"15560";"15573";"DEGRAD_AREA_PERC";"0";2024
"CZ0624102";"Slanisko u Nesytu";"1340";"15560";"15573";"PERC_0";"0";2024
"CZ0624102";"Slanisko u Nesytu";"1340";"15560";"15573";"PERC_1";"100";2024
"CZ0624102";"Slanisko u Nesytu";"1340";"15560";"15573";"PERC_2";"0";2024
"CZ0420061";"Stráně nad Chomutovkou";"1340";"16578";"16578";"ROZLOHA";"0.39";2024
"CZ0420061";"Stráně nad Chomutovkou";"1340";"16578";"16578";"KVALITA";"2.044";2024
"CZ0420061";"Stráně nad Chomutovkou";"1340";"16578";"16578";"TYPICKE_DRUHY";"2.022";2024
"CZ0420061";"Stráně nad Chomutovkou";"1340";"16578";"16578";"REPRE";"1.064";2024
"CZ0420061";"Stráně nad Chomutovkou";"1340";"16578";"16578";"REPRE_SDF";"2.936";2024
"CZ0420061";"Stráně nad Chomutovkou";"1340";"16578";"16578";"CONSERVATION";"2.022";2024
"CZ0420061";"Stráně nad Chomutovkou";"1340";"16578";"16578";"DEGREE_OF_CONSERVATION";"97.817";2024
"CZ0420061";"Stráně nad Chomutovkou";"1340";"16578";"16578";"MRTVE_DREVO";NA;2024
"CZ0420061";"Stráně nad Chomutovkou";"1340";"16578";"16578";"KALAMITA_POLOM";NA;2024
"CZ0420061";"Stráně nad Chomutovkou";"1340";"16578";"16578";"RELATIVE_AREA_PERC";"0";2024
"CZ0420061";"Stráně nad Chomutovkou";"1340";"16578";"16578";"EVL_AREA_PERC";"4.457";2024
"CZ0420061";"Stráně nad Chomutovkou";"1340";"16578";"16578";"GOOD_DOC_AREA_HA";"0.382";2024
"CZ0420061";"Stráně nad Chomutovkou";"1340";"16578";"16578";"W_AREA_HA";"0.009";2024
