kod_chu,DRUH,KOD_LOKAL,POLE,HODNOCENE_OBDOBI_OD,HODNOCENE_OBDOBI_DO
CZ0323169,Bombina variegata,amp70/a,6243b,2019-06-06,2019-07-10
CZ0323169,Bombina variegata,amp70/aa,6243b,2019-06-06,2021-07-13
CZ0323169,Bombina variegata,amp70/ab,6243b,2019-06-06,2022-06-30
CZ0323169,Bombina variegata,amp70/ac,6243b,2019-06-06,2022-06-30
CZ0323169,Bombina variegata,amp70/ad,6243b,2019-06-06,2021-07-13
CZ0323169,Bombina variegata,amp70/ae,6243b,2019-06-06,2019-07-10
CZ0323169,Bombina variegata,amp70/af,6243b,2019-06-06,2024-07-03
CZ0323169,Bombina variegata,amp70/ag,6243b,2019-06-06,2019-07-10
CZ0323169,Bombina variegata,amp70/ah,6243b,2019-06-06,2019-07-10
CZ0323169,Bombina variegata,amp70/ai,6243b,2019-06-06,2022-06-30
CZ0323169,Bombina variegata,amp70/aj,6243b,2019-06-06,2021-07-13
CZ0323169,Bombina variegata,amp70/ak,6243b,2019-06-06,2022-06-30
CZ0323169,Bombina variegata,amp70/al,6243b,2019-06-06,2020-06-16
CZ0323169,Bombina variegata,amp70/am,6243b,2019-06-06,2024-07-03
CZ0323169,Bombina variegata,amp70/an,6243b,2019-06-06,2021-07-13
CZ0323169,Bombina variegata,amp70/ao,6243b,2019-06-06,2019-07-10
CZ0323169,Bombina variegata,amp70/ap,6243b,2019-06-06,2022-06-30
CZ0323169,Bombina variegata,amp70/aq,6243b,2019-06-06,2019-07-10
CZ0323169,Bombina variegata,amp70/ar,6243b,2019-06-06,2022-06-30
CZ0323169,Bombina variegata,amp70/as,6243b,2019-06-06,2024-07-03
CZ0323169,Bombina variegata,amp70/at,6243b,2019-06-06,2022-06-30
CZ0323169,Bombina variegata,amp70/au,6243b,2019-06-06,2020-05-20
CZ0323169,Bombina variegata,amp70/av,6243b,2019-06-06,2024-07-03
CZ0323169,Bombina variegata,amp70/aw,6243b,2019-06-06,2020-07-01
CZ0323169,Bombina variegata,amp70/ax,6243b,2019-06-06,2024-07-03
CZ0323169,Bombina variegata,amp70/ay,6243b,2019-06-06,2022-06-30
CZ0323169,Bombina variegata,amp70/az,6243b,2019-06-06,2024-07-03
CZ0323169,Bombina variegata,amp70/b,6243b,2019-06-06,2021-06-03
CZ0323169,Bombina variegata,amp70/ba,6243b,2019-06-06,2024-07-03
CZ0323169,Bombina variegata,amp70/bb,6243b,2019-06-06,2024-07-03
CZ0323169,Bombina variegata,amp70/bc,6243b,2019-06-06,2020-07-01
CZ0323169,Bombina variegata,amp70/bd,6243b,2019-06-06,2024-07-03
CZ0323169,Bombina variegata,amp70/be,6243b,2019-06-06,2021-07-13
CZ0323169,Bombina variegata,amp70/bf,6243b,2019-06-06,2024-07-03
CZ0323169,Bombina variegata,amp70/bg,6243b,2019-06-06,2022-06-30
CZ0323169,Bombina variegata,amp70/bh,6243b,2019-06-06,2024-07-03
CZ0323169,Bombina variegata,amp70/bi,6243b,2019-06-06,2024-07-03
CZ0323169,Bombina variegata,amp70/bj,6243b,2019-06-06,2019-07-10
CZ0323169,Bombina variegata,amp70/bk,6243b,2019-06-06,2021-07-13
CZ0323169,Bombina variegata,amp70/bl,6243b,2019-06-06,2021-07-13
CZ0323169,Bombina variegata,amp70/bm,6243b,2019-06-06,2024-07-03
CZ0323169,Bombina variegata,amp70/bn,6243b,2019-06-06,2019-07-10
CZ0323169,Bombina variegata,amp70/bo,6243b,2019-06-06,2020-07-01
CZ0323169,Bombina variegata,amp70/bp,6243b,2019-06-06,2022-06-30
CZ0323169,Bombina variegata,amp70/bq,6243b,2019-06-06,2024-07-24
CZ0323169,Bombina variegata,amp70/br,6243b,2019-06-06,2024-07-24
CZ0323169,Bombina variegata,amp70/bs,6243b,2019-06-06,2020-07-01
CZ0323169,Bombina variegata,amp70/bt,6243b,2019-06-06,2020-07-01
CZ0323169,Bombina variegata,amp70/bu,6243b,2019-06-06,2019-07-10
CZ0323169,Bombina variegata,amp70/bv,6243b,2019-06-06,2021-07-13
CZ0323169,Bombina variegata,amp70/bw,6243b,2019-06-06,2021-07-13
CZ0323169,Bombina variegata,amp70/bx,6243b,2019-06-06,2024-07-03
CZ0323169,Bombina variegata,amp70/by,6243b,2019-06-06,2024-07-03
CZ0323169,Bombina variegata,amp70/bz,6243b,2019-06-06,2019-07-10
CZ0323169,Bombina variegata,amp70/c,6243b,2019-06-06,2019-07-10
CZ0323169,Bombina variegata,amp70/ca,6243b,2019-06-06,2024-07-03
CZ0323169,Bombina variegata,amp70/cb,6243b,2019-06-06,2024-07-03
CZ0323169,Bombina variegata,amp70/cc,6243b,2019-06-06,2022-06-30
CZ0323169,Bombina variegata,amp70/cd,6243b,2019-06-06,2024-07-03
CZ0323169,Bombina variegata,amp70/ce,6243b,2019-06-06,2024-07-03
CZ0323169,Bombina variegata,amp70/cf,6243b,2019-06-06,2024-07-03
CZ0323169,Bombina variegata,amp70/cg,6243b,2020-05-20,2024-07-03
CZ0323169,Bombina variegata,amp70/ci,6243b,2021-06-03,2024-07-03
CZ0323169,Bombina variegata,amp70/cj,6243b,2021-06-03,2024-07-03
CZ0323169,Bombina variegata,amp70/ck,6243b,2021-06-03,2021-07-13
CZ0323169,Bombina variegata,amp70/cl,6243b,2021-06-03,2024-07-03
CZ0323169,Bombina variegata,amp70/cm,6243b,2021-06-03,2024-07-03
CZ0323169,Bombina variegata,amp70/cn,6243b,2021-06-03,2022-06-30
CZ0323169,Bombina variegata,amp70/co,6243b,2022-05-24,2024-06-05
CZ0323169,Bombina variegata,amp70/cp,6243b,2022-05-24,2022-06-30
CZ0323169,Bombina variegata,amp70/cq,6243b,2022-05-24,2024-07-03
CZ0323169,Bombina variegata,amp70/cr,6243b,2022-05-24,2022-06-30
CZ0323169,Bombina variegata,amp70/cs,6243b,2022-05-24,2024-07-03
CZ0323169,Bombina variegata,amp70/ct,6243b,2022-05-24,2022-06-30
CZ0323169,Bombina variegata,amp70/cu,6243b,2022-05-24,2024-07-03
CZ0323169,Bombina variegata,amp70/cv,6243b,2024-07-03,2024-07-03
CZ0323169,Bombina variegata,amp70/cw,6243b,2024-06-05,2024-06-05
CZ0323169,Bombina variegata,amp70/cx,6243b,2024-07-03,2024-07-03
CZ0323169,Bombina variegata,amp70/cy,6243b,2024-06-05,2024-06-05
CZ0323169,Bombina variegata,amp70/cz,6243b,2024-06-05,2024-07-03
CZ0323169,Bombina variegata,amp70/d,6243b,2019-06-06,2024-07-03
CZ0323169,Bombina variegata,amp70/da,6243b,2024-06-05,2024-07-03
CZ0323169,Bombina variegata,amp70/db,6243b,2024-07-03,2024-07-03
CZ0323169,Bombina variegata,amp70/dc,6243b,2024-06-05,2024-07-03
CZ0323169,Bombina variegata,amp70/de,6243b,2024-06-05,2024-07-03
CZ0323169,Bombina variegata,amp70/dg,6243b,2024-06-05,2024-06-05
CZ0323169,Bombina variegata,amp70/dh,6243b,2024-06-05,2024-07-03
CZ0323169,Bombina variegata,amp70/di,6243b,2024-06-05,2024-07-03
CZ0323169,Bombina variegata,amp70/dj,6243b,2024-06-05,2024-07-03
CZ0323169,Bombina variegata,amp70/dk,6243b,2024-06-05,2024-07-03
CZ0323169,Bombina variegata,amp70/dl,6243b,2024-06-05,2024-07-03
CZ0323169,Bombina variegata,amp70/dm,6243b,2024-06-05,2024-07-03
CZ0323169,Bombina variegata,amp70/dn,6243b,2024-06-05,2024-07-03
CZ0323169,Bombina variegata,amp70/do,6243b,2024-06-05,2024-07-03
CZ0323169,Bombina variegata,amp70/e,6243b,2019-06-06,2024-07-03
CZ0323169,Bombina variegata,amp70/f,6243b,2019-06-06,2024-07-03
CZ0323169,Bombina variegata,amp70/g,6243b,2019-06-06,2024-07-03
CZ0323169,Bombina variegata,amp70/h,6243b,2019-06-06,2024-07-03
CZ0323169,Bombina variegata,amp70/i,6243b,2019-06-06,2024-07-03
CZ0323169,Bombina variegata,amp70/j,6243b,2019-06-06,2024-07-03
CZ0323169,Bombina variegata,amp70/k,6243b,2019-07-10,2024-06-05
