kod_chu,DRUH,POLE,POSLEDNI_NALEZ
CZ0523277,Lampetra planeri,5460a,2014-09-30
CZ0523277,Lampetra planeri,5460c,2015-09-03
CZ0523280,Lampetra planeri,5362d,2018-10-19
CZ0523280,Lampetra planeri,5462b,2018-10-19
CZ0523280,Lampetra planeri,5462d,2023-09-16
CZ0523280,Lampetra planeri,5463a,2023-09-16
CZ0523280,Lampetra planeri,5463c,2023-09-16
CZ0523280,Lampetra planeri,5563a,2020-10-10
CZ0523284,Osmoderma barnabita,5762b,2023-08-03
CZ0523290,Osmoderma barnabita,5862a,2017-06-09
CZ0524044,Lampetra planeri,5258c,2013-09-23
CZ0524044,Lampetra planeri,5258d,2013-09-01
CZ0524044,Lampetra planeri,5259c,2015-09-01
CZ0524044,Lampetra planeri,5259d,2015-09-01
CZ0524044,Lampetra planeri,5260d,2013-09-01
CZ0524044,Lampetra planeri,5358b,2013-09-23
CZ0524044,Lampetra planeri,5358d,2017-06-17
CZ0524044,Lampetra planeri,5359a,2013-09-23
CZ0524044,Lampetra planeri,5359b,2013-09-01
CZ0524044,Lampetra planeri,5359c,2013-09-01
CZ0524044,Lampetra planeri,5359d,2017-05-29
CZ0524044,Lampetra planeri,5360b,2015-09-01
CZ0524044,Lampetra planeri,5360c,2013-09-01
CZ0524044,Lampetra planeri,5360d,2013-09-01
CZ0524044,Lampetra planeri,5361a,2015-09-01
CZ0524044,Lampetra planeri,5361c,2018-10-09
CZ0524044,Lampetra planeri,5460a,2018-10-09
CZ0524044,Lampetra planeri,5460b,2013-09-01
CZ0524044,Lampetra planeri,5461a,2013-09-01
CZ0530033,Lampetra planeri,6266d,2013-09-23
CZ0530034,Lampetra planeri,6065d,2013-09-23
CZ0533295,Osmoderma barnabita,6159c,2022-07-01
CZ0533295,Osmoderma barnabita,6159d,2022-07-01
CZ0533297,Osmoderma barnabita,5861d,2015-07-23
CZ0533300,Osmoderma barnabita,6059d,2021-08-20
CZ0533300,Osmoderma barnabita,6060a,2021-08-04
CZ0533300,Osmoderma barnabita,6060c,2021-08-04
CZ0533301,Lampetra planeri,6261d,2023-10-15
CZ0533302,Osmoderma barnabita,6059b,2021-07-15
CZ0533307,Osmoderma barnabita,5960b,2022-06-24
CZ0533308,Osmoderma barnabita,5959b,2014-05-20
CZ0533309,Osmoderma barnabita,5960d,2022-07-22
CZ0533310,Osmoderma barnabita,6161a,2021-05-24
CZ0533314,Lampetra planeri,5965b,2023-10-02
CZ0533314,Lampetra planeri,5965c,2022-10-15
CZ0533314,Lampetra planeri,5965d,2020-10-10
CZ0533314,Lampetra planeri,5966a,2023-10-02
CZ0533314,Lampetra planeri,5966b,2022-10-08
CZ0533316,Osmoderma barnabita,6062a,2021-09-16
CZ0533501,Osmoderma barnabita,6160b,2022-08-02
CZ0533696,Osmoderma barnabita,6060d,2023-08-02
CZ0533698,Osmoderma barnabita,5958b,2017-06-22
CZ0533698,Osmoderma barnabita,5958d,2022-02-10
CZ0534053,Lampetra planeri,6160b,2018-10-17
CZ0534053,Osmoderma barnabita,6160b,2018-08-27
CZ0610159,Osmoderma barnabita,6659c,2022-07-22
CZ0610179,Osmoderma barnabita,6961b,2021-07-05
CZ0612149,Osmoderma barnabita,7059d,2021-10-31
CZ0613002,Osmoderma barnabita,6758b,2014-06-17
CZ0613005,Lampetra planeri,6456a,2015-11-02
CZ0613005,Lampetra planeri,6456b,2021-08-13
CZ0613005,Lampetra planeri,6457a,2021-08-13
CZ0613013,Bombina variegata,6758d,2021-06-05
CZ0613321,Lampetra planeri,6558a,2023-09-19
CZ0613333,Lampetra planeri,6461b,2022-09-01
CZ0613333,Lampetra planeri,6462a,2019-11-06
CZ0613334,Lampetra planeri,6456d,2013-08-21
CZ0613816,Osmoderma barnabita,6762d,2020-07-25
CZ0613816,Osmoderma barnabita,6763c,2023-09-01
CZ0613816,Osmoderma barnabita,6863a,2020-07-25
CZ0614131,Osmoderma barnabita,6862b,2022-06-24
CZ0620084,Osmoderma barnabita,7065d,2019-01-01
CZ0623022,Osmoderma barnabita,7164b,2024-04-22
CZ0623022,Osmoderma barnabita,7164d,2024-04-22
CZ0623025,Osmoderma barnabita,6867a,2020-10-04
CZ0623032,Osmoderma barnabita,6965d,2016-10-27
CZ0623045,Osmoderma barnabita,7266b,2014-07-10
CZ0623349,Bombina variegata,7171a,2024-07-20
CZ0623801,Osmoderma barnabita,6965d,2019-01-01
CZ0624001,Osmoderma barnabita,7163c,2016-05-24
CZ0624072,Bombina variegata,7169d,2024-07-16
CZ0624072,Bombina variegata,7170a,2021-06-06
CZ0624072,Bombina variegata,7170b,2020-09-10
CZ0624072,Bombina variegata,7170c,2023-08-30
CZ0624072,Bombina variegata,7170d,2023-08-30
CZ0624095,Osmoderma barnabita,7060c,2023-07-06
CZ0624095,Osmoderma barnabita,7060d,2023-06-11
CZ0624096,Osmoderma barnabita,7162a,2023-10-29
CZ0624099,Osmoderma barnabita,7166a,2013-04-27
