kod_chu,DRUH,KOD_LOKAL,POLE,POSLEDNI_NALEZ
CZ0314024,Lampetra planeri,SUM_LP_012_Šumava,7049b,2023-09-27
CZ0314024,Lampetra planeri,SUM_LP_013_Šumava,7049d,2023-09-27
CZ0314024,Lampetra planeri,SUM_LP_014_Šumava,7149a,2023-10-04
CZ0314024,Lampetra planeri,SUM_LP_015_Šumava,7049b,2023-09-27
CZ0314024,Lampetra planeri,SUM_LP_016_Šumava,7049d,2023-09-27
CZ0314024,Lampetra planeri,SUM_LP_017_Šumava,7149b,2023-09-27
CZ0314024,Lampetra planeri,SUM_LP_018_Šumava,6949c,2023-09-22
CZ0314024,Lampetra planeri,SUM_LP_019_Šumava,7050d,2023-10-03
CZ0314024,Lampetra planeri,SUM_LP_020_Šumava,7050c,2023-10-03
CZ0314024,Lampetra planeri,SUM_LP_021_Šumava,7050c,2023-10-03
CZ0314024,Lampetra planeri,SUM_LP_022_Šumava,7050c,2023-10-13
CZ0314024,Lampetra planeri,SUM_LP_023_Šumava,7050d,2023-10-03
CZ0314024,Lampetra planeri,SUM_LP_024_Šumava,7050c,2023-10-13
CZ0314024,Lampetra planeri,SUM_LP_025_Šumava,7149d,2023-10-04
CZ0314024,Lampetra planeri,SUM_LP_026_Šumava,7048d,2023-09-21
CZ0314024,Lampetra planeri,SUM_LP_027_Šumava,7048a,2020-10-29
CZ0314024,Lampetra planeri,SUM_LP_027_Šumava,7048c,2024-01-18
CZ0314024,Lampetra planeri,SUM_LP_028_Šumava,7149a,2023-09-20
CZ0314024,Lampetra planeri,SUM_LP_029_Šumava,7149d,2023-10-04
CZ0314024,Lampetra planeri,SUM_LP_030_Šumava,7047b,2023-09-14
CZ0314024,Lampetra planeri,SUM_LP_031_Šumava,6947d,2023-09-14
CZ0314024,Lampetra planeri,SUM_LP_032_Šumava,7048d,2023-09-21
CZ0314024,Lampetra planeri,SUM_LP_033_Šumava,7048d,2023-09-21
CZ0314024,Lampetra planeri,SUM_LP_034_Šumava,7048c,2023-09-19
CZ0314024,Lampetra planeri,SUM_LP_035_Šumava,7250c,2023-10-06
CZ0314024,Lampetra planeri,SUM_LP_036_Šumava,7249d,2023-10-05
CZ0314024,Lampetra planeri,SUM_LP_037,7250c,2023-10-05
CZ0314024,Lampetra planeri,SUM_LP_037_Šumava,7250c,2022-10-28
CZ0314024,Lampetra planeri,SUM_LP_037Šumava,7250c,2020-10-30
CZ0314024,Lampetra planeri,SUM_LP_038_Šumava,6847c,2023-09-07
